date,region,product,units_sold,unit_price
2024-10-16,North,Keyboard,18,203.46
2023-05-23,North,Camera,35,78.68
2024-03-08,North,Keyboard,6,182.72
2024-06-01,North,Headset,13,575.66
2024-12-19,West,Mouse,29,475.52
2023-01-07,South,Camera,28,278.8
2023-06-09,South,Monitor,7,83.27
2023-04-10,East,Monitor,39,218.97
2023-02-14,West,Headset,8,778.76
2024-01-23,North,Headset,19,665.23
2024-09-25,East,Headset,13,566.61
2023-02-16,South,Monitor,6,685.7
2023-04-14,West,Monitor,30,512.19
2024-01-09,South,Monitor,23,175.51
2023-10-01,North,Headset,11,431.97
2023-09-08,South,Laptop,25,223.26
2024-10-17,South,Camera,21,675.85
2023-02-27,South,Keyboard,21,326.92
2023-03-09,South,Headset,21,177.97
2024-05-26,West,Camera,30,122.87
2023-05-23,South,Camera,36,435.79
2024-08-21,West,Headset,26,295.98
2023-05-22,West,Keyboard,4,690.27
2023-06-06,South,Camera,28,481.16
2024-01-30,West,Headset,30,428.0
2024-07-20,North,Camera,8,548.55
2024-07-03,East,Camera,22,98.13
2024-03-21,South,Laptop,1,763.51
2023-09-27,South,Headset,7,697.71
2023-11-02,South,Mouse,24,612.38
2024-07-06,North,Headset,21,396.0
2023-04-25,East,Monitor,16,55.76
2024-08-03,North,Keyboard,32,654.66
2024-06-29,South,Mouse,31,758.01
2023-06-19,East,Headset,39,344.28
2023-08-05,South,Camera,20,325.2
2024-11-18,East,Laptop,34,366.67
2023-09-11,South,Keyboard,22,26.62
2024-07-21,South,Headset,15,15.68
2024-12-25,North,Mouse,5,725.28
2023-12-05,North,Headset,16,230.0
2024-05-12,South,Headset,9,581.45
2024-08-07,West,Mouse,31,647.92
2023-07-14,North,Keyboard,28,289.9
2024-02-25,West,Camera,4,541.96
2024-10-23,North,Keyboard,26,585.29
2023-04-22,South,Mouse,13,433.67
2023-05-24,West,Mouse,18,375.48
2023-03-19,West,Headset,7,49.96
2024-07-07,North,Keyboard,16,141.39
2024-01-18,,Keyboard,10,25.50
2024-05-12,West,Mouse,26,722.93
2023-06-18,West,Keyboard,25,219.51
2024-04-10,East,Laptop,36,532.88
2024-05-13,South,Mouse,19,181.98
2023-03-01,North,Camera,21,55.16
2024-08-21,West,Headset,34,134.37
2024-06-04,North,Mouse,5,480.08
2024-11-22,South,Laptop,8,753.86
2024-08-06,South,Headset,39,41.4
2023-03-25,West,Camera,38,456.53
2023-11-20,East,Mouse,21,198.56
2024-02-10,South,Camera,20,371.21
2023-03-16,North,Laptop,40,798.78
2023-04-13,North,Headset,14,409.65
2023-05-16,East,Keyboard,16,301.93
2023-06-11,West,Headset,20,493.23
2024-10-31,North,Camera,36,246.51
2024-11-10,North,Mouse,17,101.19
2023-04-20,South,Monitor,19,487.82
2023-12-18,South,Camera,17,409.27
2023-09-15,North,Keyboard,28,665.18
2023-02-15,North,Monitor,9,513.32
2023-09-26,South,Camera,29,445.83
2024-03-13,North,Keyboard,5,756.59
2024-01-18,North,Mouse,abc,15.00
2024-12-08,South,Headset,3,669.33
2024-08-19,South,Laptop,9,43.04
2024-01-09,North,Monitor,14,548.83
2024-11-13,North,Monitor,36,708.47
2024-02-21,South,Mouse,11,781.2
2023-07-01,West,Keyboard,12,591.89
2023-12-07,West,Camera,16,220.78
2024-12-19,North,Laptop,3,688.29
2023-08-16,South,Laptop,23,251.1
2023-08-22,South,Keyboard,13,324.79
2023-10-13,North,Monitor,23,516.77
2024-02-14,East,Keyboard,8,702.86
2023-09-25,South,Headset,17,40.22
2024-09-02,West,Monitor,21,354.75
2024-06-07,North,Laptop,37,160.16
2023-02-15,West,Keyboard,34,741.2
2024-07-05,South,Monitor,28,65.28
2024-11-11,East,Headset,21,534.08
2023-05-08,East,Headset,20,536.85
2023-12-01,West,Camera,19,447.99
2023-07-16,West,Camera,25,545.08
2023-06-28,East,Laptop,36,668.64
2023-11-08,East,Mouse,28,630.75
2024-09-13,East,Laptop,29,359.31
2024-01-19,South,,12,25.50
2023-08-07,West,Camera,11,530.49
2023-10-18,East,Keyboard,16,541.51
2023-08-19,South,Mouse,2,46.51
2024-05-01,North,Laptop,27,710.05
2024-08-12,South,Camera,25,400.56
2023-09-07,South,Camera,1,715.2
2023-04-20,West,Mouse,12,645.25
2024-12-13,West,Keyboard,36,206.87
2023-05-05,West,Mouse,30,537.39
2024-07-26,East,Laptop,40,653.86
2024-05-31,West,Headset,29,718.79
2024-05-01,West,Monitor,16,673.49
2023-10-11,West,Camera,16,226.93
2023-03-21,East,Mouse,18,275.32
2024-07-07,North,Mouse,10,192.7
2024-12-11,South,Camera,14,60.74
2024-02-22,East,Headset,30,338.46
2023-07-31,West,Laptop,38,757.39
2023-01-21,West,Laptop,1,754.77
2023-11-02,West,Laptop,35,600.54
2024-07-13,South,Laptop,15,225.62
2024-05-12,North,Laptop,22,538.41
2024-02-19,South,Laptop,9,784.77
2024-06-30,North,Laptop,38,455.87
2024-01-19,East,Monitor,-3,120.00
2023-01-28,North,Camera,28,117.2
2024-04-17,South,Keyboard,17,309.49
2023-08-05,West,Monitor,22,611.37
2024-01-24,East,Laptop,17,669.58
2024-04-26,North,Camera,35,51.15
2023-12-25,South,Camera,5,627.17
2024-10-29,North,Keyboard,16,167.49
2023-01-21,South,Mouse,9,384.11
2023-04-28,South,Laptop,17,615.85
2023-06-21,North,Mouse,20,95.4
2023-01-27,East,Headset,25,323.36
2023-07-23,North,Headset,16,90.5
2023-11-05,North,Headset,3,284.29
2024-03-14,East,Keyboard,33,521.56
2023-01-13,West,Laptop,7,352.48
2024-01-06,West,Camera,10,354.03
2024-06-18,East,Headset,35,621.97
2024-04-21,West,Camera,38,222.03
2023-09-09,North,Monitor,29,202.65
2024-04-20,West,Monitor,2,400.5
2023-11-29,South,Laptop,14,290.31
2023-09-22,East,Monitor,39,563.94
2023-10-10,North,Headset,13,77.63
2024-02-21,West,Headset,16,555.58
2024-01-20,West,Keyboard,10,
2024-10-23,West,Laptop,2,83.51
2023-08-15,West,Camera,16,251.9
2024-08-18,East,Laptop,36,429.43
2024-03-11,East,Monitor,30,224.02
2023-09-15,South,Keyboard,13,259.28
2024-07-02,South,Mouse,14,593.5
2023-10-11,East,Keyboard,13,244.03
2024-01-05,South,Monitor,1,569.33
2023-05-10,East,Keyboard,4,447.15
2024-12-15,South,Camera,32,91.04
2023-01-13,East,Laptop,31,357.97
2023-07-08,North,Monitor,31,100.13
2023-03-08,West,Laptop,5,465.85
2024-12-03,North,Mouse,10,650.8
2023-11-08,North,Mouse,8,450.88
2024-03-02,South,Headset,25,365.91
2024-03-29,East,Headset,28,251.25
2024-09-27,North,Headset,7,758.6
2023-08-01,South,Monitor,6,134.08
2023-06-27,North,Mouse,1,332.73
2024-12-06,West,Monitor,3,192.87
2024-12-24,East,Camera,30,66.23
2023-08-28,East,Camera,38,532.33
2023-07-22,West,Keyboard,35,187.6
hello,this,is,not,valid
2023-06-02,East,Mouse,5,57.11
2023-11-11,East,Laptop,8,380.27
2023-11-08,West,Monitor,33,436.59
2024-03-24,North,Headset,3,712.64
2024-01-21,North,Keyboard,10
2023-11-27,East,Keyboard,6,190.85
2024-11-21,North,Camera,18,465.24
2023-06-29,West,Headset,29,733.7
2023-07-05,West,Camera,32,775.55
2024-04-26,East,Laptop,22,263.64
2023-04-18,South,Monitor,27,558.0
2023-10-23,West,Headset,3,369.31
2023-11-19,East,Monitor,8,776.45
2024-02-18,North,Camera,35,374.96
2023-02-25,South,Headset,24,501.88
2024-05-25,West,Keyboard,14,220.97
2023-05-15,East,Laptop,32,105.93
2024-10-07,South,Camera,11,255.49
2023-01-15,West,Keyboard,15,793.88
2023-04-27,West,Keyboard,10,403.72
2023-10-26,East,Laptop,31,784.39
2023-09-07,West,Headset,10,313.03
2024-09-05,South,Keyboard,18,620.41
2024-02-29,East,Headset,18,658.23
2023-10-17,East,Headset,38,799.13
2024-05-16,South,Laptop,35,392.63
2023-12-07,West,Laptop,21,696.99
2024-12-15,South,Headset,25,194.51
2024-02-25,North,Monitor,31,567.13
2024-01-26,West,Camera,10,401.31
2023-02-07,South,Headset,38,272.28
2023-04-13,West,Keyboard,34,729.25
2023-01-16,South,Laptop,10,69.11
2023-09-29,East,Headset,26,523.37
2023-12-03,West,Monitor,32,699.18
2023-02-06,North,Mouse,19,797.97
2023-04-03,West,Keyboard,7,360.51
2024-12-11,East,Keyboard,3,266.26
2023-02-27,East,Monitor,24,350.24
2023-09-08,West,Headset,12,144.29
2023-03-22,West,Headset,16,403.16
2024-08-20,South,Mouse,30,513.94
2024-04-15,East,Camera,1,720.14
2024-04-21,East,Camera,35,134.8
2024-03-28,East,Headset,20,514.76
2024-03-10,East,Laptop,20,167.38
2024-01-29,West,Keyboard,16,311.28
2024-01-03,East,Camera,19,27.33
2024-11-05,West,Monitor,1,457.08
2024-12-03,North,Headset,32,667.94
2023-10-21,South,Headset,23,183.01
2023-07-14,East,Camera,9,506.32
2024-10-04,North,Monitor,29,36.36
2024-01-09,South,Keyboard,19,268.11
2024-03-01,South,Mouse,9,631.35
2024-01-10,East,Mouse,17,732.1
2024-05-08,East,Camera,22,645.34
2024-04-24,North,Mouse,15,689.51
2024-11-21,West,Headset,24,81.34
2024-02-09,North,Monitor,35,107.64
2024-01-13,East,Headset,25,659.71
2024-01-16,North,Camera,15,382.47
2024-09-26,East,Headset,15,521.65
2024-10-12,West,Camera,20,522.9
2023-04-30,South,Keyboard,3,250.45
2024-05-19,North,Keyboard,16,710.93
2023-05-19,West,Laptop,24,539.68
2024-12-14,West,Headset,10,709.48
2024-11-01,North,Laptop,40,332.41
2023-10-14,North,Camera,24,181.64
2024-03-31,South,Monitor,7,784.93
2024-01-12,East,Keyboard,26,227.95
2023-05-06,West,Keyboard,14,516.95
2024-09-03,North,Keyboard,22,202.42
2024-01-18,,Keyboard,10,25.50
2023-05-09,South,Keyboard,36,173.65
2023-08-10,South,Monitor,10,633.03
2024-09-02,North,Monitor,10,790.15
2024-07-07,East,Mouse,8,532.24
2023-01-27,South,Keyboard,23,634.09
2023-09-01,East,Keyboard,12,219.64
2023-05-10,West,Headset,8,599.08
2024-05-02,West,Monitor,33,479.0
2024-04-07,South,Headset,3,584.52
2024-11-05,East,Laptop,2,58.05
2024-05-05,West,Laptop,7,397.31
2024-03-30,North,Keyboard,21,490.55
2023-03-09,South,Monitor,40,510.13
2024-07-15,East,Laptop,39,429.14
2024-04-09,West,Keyboard,8,683.71
2024-10-28,South,Laptop,29,711.59
2024-02-28,East,Laptop,26,338.63
2023-04-08,East,Laptop,21,535.44
2024-01-19,South,Camera,31,63.04
2023-03-29,North,Laptop,7,598.23
2024-01-17,South,Headset,4,473.31
2024-07-29,East,Camera,8,334.54
2024-11-12,West,Camera,4,775.03
2024-09-06,East,Monitor,7,466.56
2024-01-18,North,Mouse,abc,15.00
2023-08-06,South,Camera,31,187.15
2023-04-21,East,Headset,24,100.76
2023-10-13,South,Laptop,36,779.89
2024-09-28,North,Headset,18,32.87
2023-10-07,East,Monitor,23,14.82
2023-05-27,West,Keyboard,10,595.37
2023-02-01,North,Camera,34,179.95
2024-03-05,West,Monitor,11,302.34
2023-11-29,North,Keyboard,10,134.35
2024-09-24,North,Camera,6,224.96
2024-11-08,West,Laptop,39,359.21
2023-10-07,South,Headset,8,282.69
2023-04-24,East,Camera,38,394.44
